Results by state[5][323][324],,,,,,,,,,,,,,,,,,,
State or,Biden/Harris,Trump/Pence,Jorgensen/Cohen,Hawkins/Walker,Others,Margin,Margin,Total,,,,,,,,,,,
district,Democratic,Republican,Libertarian,Green,,,swing,votes,,,,,,,,,,,
Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,%,,
Alabama,849624,0.3657,–,1441170,0.6203,9,25176,0.0108,–,[l],[l],–,7312,0.0031,–,"−591,546",−25.46%,0.0227,2323282
Alaska,153778,0.4277,–,189951,0.5283,3,8897,0.0247,–,[m],[m],–,6904,0.0192,–,"−36,173",−10.06%,0.0467,359530
Arizona,1672143,0.4936,11,1661686,0.4906,–,51465,0.0152,–,1557,0.0005,–,475,0.0001,–,10457,0.0031,0.0381,3387326
Arkansas,423932,0.3478,–,760647,0.624,6,13133,0.0108,–,2980,0.0024,–,18377,0.0151,–,"−336,715",−27.62%,−0.70%,1219069
California,11110250,0.6348,55,6006429,0.3432,–,187895,0.0107,–,81029,0.0046,–,115278,0.0066,–,5103821,0.2916,−0.95%,17500881
Colorado,1804352,0.554,9,1364607,0.419,–,52460,0.0161,–,8986,0.0028,–,26575,0.0082,–,439745,0.135,0.0859,3256980
Connecticut,1080831,0.5926,7,714717,0.3919,–,20230,0.0111,–,7538,0.0041,–,541,0.0003,–,366114,0.2007,0.0643,1823857
District of Columbia,317323,0.9215,3,18586,0.054,–,2036,0.0059,–,1726,0.005,–,4685,0.0136,–,298737,0.8675,−0.03%,344356
Delaware,296268,0.5874,3,200603,0.3977,–,5000,0.0099,–,2139,0.0042,–,336,0.0007,–,95665,0.1897,0.076,504346
Florida,5297045,0.4786,–,5668731,0.5122,29,70324,0.0064,–,14721,0.0013,–,16635,0.0015,–,"−371,686",−3.36%,−2.16%,11067456
Georgia,2473633,0.4947,16,2461854,0.4924,–,62229,0.0124,–,1013,0.0002,–,1231,0.0002,–,11779,0.0024,0.0537,4999960
Hawaii,366130,0.6373,4,196864,0.3427,–,5539,0.0096,–,3822,0.0067,–,2114,0.0037,–,169266,0.2946,−2.72%,574469
Idaho,287021,0.3307,–,554119,0.6384,4,16404,0.0189,–,407,0.0005,–,10063,0.0116,–,"−267,098",−30.77%,0.01,868014
Illinois,3471915,0.5754,20,2446891,0.4055,–,66544,0.011,–,30494,0.0051,–,17900,0.003,–,1025024,0.1699,−0.08%,6033744
Indiana,1242416,0.4096,–,1729519,0.5702,11,59232,0.0195,–,989,0.0003,–,965,0.0003,–,"−487,103",−16.06%,0.0311,3033121
Iowa,759061,0.4489,–,897672,0.5309,6,19637,0.0116,–,3075,0.0018,–,11426,0.0068,–,"−138,611",−8.20%,0.0121,1690871
Kansas,570323,0.4156,–,771406,0.5621,6,30574,0.0223,–,669[n],0.05%[n],–,"1,014[n]",0.07%[n],–,"−201,083",−14.65%,0.0595,1372303
Kentucky,772474,0.3615,–,1326646,0.6209,8,26234,0.0123,–,716,0.0003,–,10698,0.005,–,"−554,172",−25.94%,0.039,2136768
Louisiana,856034,0.3985,–,1255776,0.5846,8,21645,0.0101,–,–,–,–,14607,0.0068,–,"−399,742",−18.61%,0.0103,2148062
Maine,435072,0.5309,2,360737,0.4402,–,14152,0.0173,–,8230,0.01,–,1270,0.0015,–,74335,0.0907,0.0611,819461
