Overall Rank,State,Total Score ,‘Socioeconomic Diversity’ Rank ,‘Cultural Diversity’ Rank ,‘Economic Diversity’ Rank ,‘Household Diversity’ Rank ,‘Religious Diversity’ Rank ,‘Political Diversity’ Rank ,Notes
1,California,70.75,3,1,11,5,32,8,https://wallethub.com/edu/most-least-diverse-states-in-america/38262
2,Texas,70.02,13,4,13,14,6,21,
3,Hawaii,69.71,16,3,4,11,34,16,
4,New Jersey,69.38,5,7,40,26,19,4,
5,New York,69.13,8,8,37,6,21,6,
6,New Mexico,69.04,40,6,5,4,22,36,
7,Maryland,68.61,2,10,25,10,30,19,
8,Florida,68.43,28,5,33,7,38,5,
9,Nevada,68.29,29,2,43,2,45,11,
10,Arizona,68.04,23,9,26,8,41,17,
11,Illinois,67.92,12,12,38,23,7,2,
12,Virginia,67.83,4,14,16,33,25,24,
13,Georgia,67.68,19,13,14,9,16,35,
14,Connecticut,67,6,15,45,28,27,7,
15,Alaska,66.57,22,11,1,31,44,26,
16,Delaware,66.43,14,17,41,18,35,29,
17,Colorado,66.28,7,18,27,36,40,22,
18,Washington,66.26,10,16,15,35,43,9,
19,Massachusetts,66.16,1,19,50,23,33,2,
20,North Carolina,66.12,26,21,28,22,26,32,
21,Oklahoma,65.75,44,22,6,17,18,31,
22,Rhode Island,65.44,11,20,49,11,36,1,
23,South Carolina,65.18,35,23,21,13,14,41,
24,Louisiana,65.17,46,25,12,3,3,44,
25,Kansas,64.95,21,26,23,39,11,26,
26,Mississippi,64.32,49,27,10,1,14,47,
27,Nebraska,64.29,25,33,24,41,4,33,
27,Alabama,64.29,45,30,18,15,12,47,
29,Minnesota,64.13,15,36,44,44,5,15,
30,Pennsylvania,64.13,24,32,47,32,10,13,
31,Oregon,64.11,20,24,20,29,48,23,
32,Tennessee,63.99,41,31,22,20,20,43,
33,Arkansas,63.53,48,28,17,19,24,45,
34,Idaho,63.42,43,35,7,48,13,45,
35,South Dakota,63.24,39,42,8,43,2,50,
36,North Dakota,63.07,27,43,9,49,1,38,
37,Missouri,62.97,31,39,35,30,17,18,
38,Michigan,62.92,32,34,48,25,31,10,
39,Wisconsin,62.89,30,40,39,37,9,30,
40,Indiana,62.7,38,37,46,27,29,20,
41,Wyoming,62.5,37,38,2,47,37,40,
42,Utah,62.36,18,29,30,50,49,49,
43,Ohio,62.32,36,41,42,16,28,28,
44,Iowa,62.28,33,45,31,45,8,11,
45,Kentucky,61.57,47,46,29,21,23,39,
46,Montana,61.52,42,44,3,46,39,42,
47,New Hampshire,60.9,9,47,36,42,46,13,
48,Vermont,60.27,17,48,34,40,47,34,
49,Maine,58.59,34,49,32,38,50,25,
50,West Virginia,58.4,50,50,19,34,42,37,
